Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
190904,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-214.318.867,-410.159.583,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190903,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-214.415.283,-4.102.066,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190902,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-214.646.367,-410.415.417,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190900,Ambipar Response,Espírito Santo,Diário,2022-06-13,-19.954.056,-4.015.157,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Aracruz
190897,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-221.697,-413.283,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Quissamã
190896,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-221.898,-41.405,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Quissamã
190895,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-222.509,-415.839,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto,Carapebus
190894,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-221.947,-414.242,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Quissamã
190893,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-222.023,-41.452,Mammalia,Cetacea,Sotalia guianensis,Não,Arenoso,Morto,Quissamã
190892,Ambipar Response,Espírito Santo,Diário,2022-06-12,-203.053,-402.914,Aves,Charadriiformes,Thalasseus acuflavidus,Não,Outros,Vivo,Vitória
190891,Ambipar Response,Espírito Santo,Diário,2022-06-12,-2.015.654,-4.018.356,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Serra
190885,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-223.393,-417.411,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Vivo,Macaé
190870,Ambipar Response,Rio de Janeiro,Diário,2022-06-11,-223.735,-417.753,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Macaé
190858,Ambipar Response,Rio de Janeiro,Diário,2022-06-12,-225.984,-41.994,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Cabo Frio
190850,Ambipar Response,Espírito Santo,Diário,2022-06-11,-208.430.239,-407.237.307,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piuma
190846,Ambipar Response,Espírito Santo,Diário,2022-06-12,-208.381.618,-40.708.778,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piuma
190831,Ambipar Response,Rio de Janeiro,Diário,2022-06-12,-214.647.467,-41.041.635,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190825,Ambipar Response,Espírito Santo,Diário,2022-06-12,-1.878.053,-3.974.831,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Mateus
190784,Ambipar Response,Rio de Janeiro,Diário,2022-06-11,-2.297.015,-4.203.137,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Vivo,Arraial do Cabo
190776,Ambipar Response,Espírito Santo,Diário,2022-06-10,-206.764.006,-405.019.334,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Guarapari
