Código,Instituição executora,Estado,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
148053,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2021-01-03,-507.178,-360.902,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Caiçara do Norte
148052,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2021-01-03,-5.088,-3.629.013,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Galinhos
148047,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário 15,Vazante,2021-01-02,-487.661,-3.722.536,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Tibau
148046,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2021-01-02,-490.641,-3.719.896,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Grossos
147986,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazia,2020-12-30,-46.514.993,-374.617.256,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147985,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2020-12-30,-47.134,-3.731.245,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147984,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-12-27,-495.076,-370.371,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Areia Branca
147889,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-12-28,-507.115,-3.643.579,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Macau
147876,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-12-31,-509.602,-3.615.142,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Galinhos
147762,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário 15,Enchente,2020-12-24,-488.281,-3.722.085,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Tibau
147732,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário 15,Vazante,2020-12-22,-488.426,-3.721.991,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Tibau
147731,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Cheia,2020-12-22,-46.889.877,-373.574.638,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147729,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2020-12-16,-46.631.317,-374.333.704,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147728,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2020-12-16,-46.729.267,-374.133.718,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147727,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2020-12-14,-46.515.401,-374.617.213,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147726,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário 15,Vazante,2020-12-14,-488.465,-3.721.977,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Tibau
147725,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2020-12-11,-46.633.028,-374.328.017,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147724,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2020-12-09,-46.516.042,-374.617.481,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
147723,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2020-12-09,-484.208,-3.724.663,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Tibau
147722,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2020-12-09,-489.181,-3.721.389,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
147721,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-12-04,-488.909,-3.721.632,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
147720,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-11-25,-504.007,-3.679.945,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Porto do Mangue
