Código,Instituição executora,Estado,Cidade,Praia,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição
136599,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Enchente,2020-09-12,-242.490.106,-468.916.308,Aves,Charadriiformes,Charadrius semipalmatus,Não,Arenoso,Vivo
136597,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-12,-240.244.762,-464.570.246,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136596,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-12,-24.017.531,-464.320.326,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136595,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-12,-24.015.766,-46.423.733,Aves,Procellariiformes,Puffinus gravis,Não,Arenoso,Morto
136579,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazia,2020-09-12,-242.623.613,-469.153.411,Aves,Procellariiformes,Procellaria aequinoctialis,Não,Arenoso,Morto
136578,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazia,2020-09-12,-243.301.721,-469.990.147,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136577,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazia,2020-09-12,-243.311.833,-469.994.984,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136571,Trecho 09,São Paulo,Guarujá,Monduba,Acionamento,Enchente,2020-09-12,-240.247.026,-462.849.407,Aves,Procellariiformes,Procellaria aequinoctialis,Não,Arenoso,Morto
136568,Trecho 09,São Paulo,Guarujá,Monduba,Acionamento,Enchente,2020-09-12,-240.248.508,-46.284.654,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Vivo
136566,Trecho 10,São Paulo,Ilhabela,Pereque,Diário,Vazante,2020-09-10,-238.136.997,-453.692.544,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136565,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-11,-237.603.736,-458.737.928,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136564,Trecho 10,São Paulo,São Sebastião,Maresias,Diário,Enchente,2020-09-11,-237.907.085,-45.567.232,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Vivo
136563,Trecho 08,São Paulo,Itanhaém,Praia dos Sonhos,Diário,Vazia,2020-09-11,-24.195.539,-468.016.485,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
136562,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Vazia,2020-09-11,-241.661.178,-467.492.412,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
136561,Trecho 08,São Paulo,Mongaguá,Mongaguá,Diário,Vazia,2020-09-11,-241.334.253,-466.915.241,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136536,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Cheia,2020-09-11,-247.234,-475.054,Aves,Procellariiformes,Procellaria aequinoctialis,Não,Arenoso,Vivo
136533,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Enchente,2020-09-11,-238.176.154,-460.485.935,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
